OBJECTID,GEO_ID_TRT,TRACT_LBL,E25077027,M25077027
128,53033011700,Tract 011700,374400,25050
129,53033011800,Tract 011800,370800,21139
130,53033011900,Tract 011900,387000,29519
131,53033012000,Tract 012000,432000,27001
132,53033012100,Tract 012100,597800,49544
133,53033020100,Tract 020100,688600,60770
134,53033020200,Tract 020200,560000,53503
135,53033020300,Tract 020300,421300,33024
136,53033020401,Tract 020401,370200,17106
137,53033020402,Tract 020402,465000,28071
138,53033020500,Tract 020500,375300,27798
139,53033020600,Tract 020600,417900,35403
140,53033020700,Tract 020700,390200,33188
141,53033020800,Tract 020800,619500,42933
142,53033020900,Tract 020900,480800,31406
143,53033021000,Tract 021000,413700,44298
144,53033021100,Tract 021100,444500,27257
145,53033021300,Tract 021300,520000,75783
146,53033021400,Tract 021400,535100,54884
147,53033021500,Tract 021500,590100,20420
148,53033021600,Tract 021600,506900,29635
